State,DailySalesRevenue(dollars),AverageTransactions
Alaska,1451.00,52
Alabama,1120.00,46
Arkansas,903.00,38
Arizona,1370.00,54
California,1601.00,52
Colorado,1380.00,47
Connecticut,1174.00,37
Delaware,981.00,37
Florida,1553.00,52
Georgia,1494.00,56
Hawaii,1454.00,43
Iowa,984.00,39
Idaho,946.00,37
Illinois,1176.00,41
Indiana,965.00,40
Kansas,811.00,32
Kentucky,1085.00,48
Louisiana,1331.00,50
Massachusetts,1585.00,50
Maryland,1510.00,48
Maine,1083.00,38
Michigan,1010.00,39
Minnesota,1370.00,48
Missouri,1079.00,38
Mississippi,708.00,30
Montana,1070.00,34
NC,1546.00,63
North Dakota,1002.00,34
Nebraska,1023.00,45
N. Hampshire,1237.00,41
New Jersey,1341.00,39
New Mexico,1059.00,41
Nevada,1138.00,40
New York,1280.00,39
Ohio,858.00,34
Oklahoma,804.00,32
Oregon,1335.00,48
Pennsylvania,954.00,33
Rhode Island,1883.00,52
S. Carolina,1494.00,53
South Dakota,871.00,28
Tennessee,1164.00,47
Texas,1204.00,47
Utah,1187.00,57
Virginia,1250.00,46
Vermont,1731.00,45
Washington,1431.00,50
Wisconsin,837.00,27
West Virginia,843.00,39
Wyoming,863.00,26
